2020-03-12 14:37:29,163 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:31,664 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:33,698 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.4', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:35,783 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.4', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:37,868 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '8.3', 'app_memory_usage': '17.4', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:40,288 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.4', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:42,288 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.4', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:44,262 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.4', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:46,716 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '8.3', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:49,126 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:53,272 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:55,252 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '82.0', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:57,763 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '84.2', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:59,882 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '88.0', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:38:02,089 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '89.7', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:38:04,300 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '21.6', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:38:06,350 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '17.9', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:38:09,302 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '23.0', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:38:11,452 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '23.0', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:38:14,219 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '22.5', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:38:16,251 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '33.3', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:38:18,774 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '20.0', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:38:21,607 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '15.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
